IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
154.197.121.236,8443,TRUE,LAX,US,North America,Los Angeles,328608,Africa-on-Cloud-AS,631,1.44
154.197.121.49,8443,TRUE,LAX,US,North America,Los Angeles,328608,Africa-on-Cloud-AS,636,1.43
154.197.121.180,8443,TRUE,LAX,US,North America,Los Angeles,328608,Africa-on-Cloud-AS,645,1.43
8.222.168.24,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",370,1.43
154.197.121.196,8443,TRUE,SEA,US,North America,Seattle,328608,Africa-on-Cloud-AS,682,1.42
154.197.121.148,8443,TRUE,SEA,US,North America,Seattle,328608,Africa-on-Cloud-AS,653,1.42
154.197.121.26,8443,TRUE,LAX,US,North America,Los Angeles,328608,Africa-on-Cloud-AS,691,1.42
8.222.221.197,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",453,1.42
8.210.159.198,51106,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",344,1.41
156.251.183.226,34147,TRUE,SIN,SG,Asia Pacific,Singapore,40065,CNSERVERS,296,1.41
154.197.121.234,8443,TRUE,LAX,US,North America,Los Angeles,328608,Africa-on-Cloud-AS,712,1.41
154.197.121.123,8443,TRUE,LAX,US,North America,Los Angeles,328608,Africa-on-Cloud-AS,726,1.40
154.197.121.118,8443,TRUE,SEA,US,North America,Seattle,328608,Africa-on-Cloud-AS,659,1.40
154.197.121.193,8443,TRUE,LAX,US,North America,Los Angeles,328608,Africa-on-Cloud-AS,682,1.39
154.197.121.31,8443,TRUE,LAX,US,North America,Los Angeles,328608,Africa-on-Cloud-AS,654,1.39
154.197.121.221,8443,TRUE,SEA,US,North America,Seattle,328608,Africa-on-Cloud-AS,640,1.39
154.197.121.136,8443,TRUE,LAX,US,North America,Los Angeles,328608,Africa-on-Cloud-AS,644,1.39
154.197.121.215,8443,TRUE,LAX,US,North America,Los Angeles,328608,Africa-on-Cloud-AS,658,1.39
154.197.121.107,8443,TRUE,SEA,US,North America,Seattle,328608,Africa-on-Cloud-AS,603,1.39
154.197.121.229,8443,TRUE,LAX,US,North America,Los Angeles,328608,Africa-on-Cloud-AS,649,1.39
47.236.123.133,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",342,1.38
168.131.65.195,21305,TRUE,HKG,HK,Asia Pacific,Hong Kong,10197,Chonnam National University,576,1.38
154.197.121.162,8443,TRUE,SEA,US,North America,Seattle,328608,Africa-on-Cloud-AS,632,1.38
154.197.121.30,8443,TRUE,LAX,US,North America,Los Angeles,328608,Africa-on-Cloud-AS,640,1.38
8.222.167.8,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",335,1.37
154.197.121.33,8443,TRUE,SEA,US,North America,Seattle,328608,Africa-on-Cloud-AS,654,1.37
8.219.167.65,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",385,1.37
18.136.104.40,19042,TRUE,SIN,SG,Asia Pacific,Singapore,16509,AMAZON-02,321,1.36
47.236.148.174,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",357,1.35
154.197.121.142,8443,TRUE,LAX,US,North America,Los Angeles,328608,Africa-on-Cloud-AS,649,1.34
154.197.121.224,8443,TRUE,SEA,US,North America,Seattle,328608,Africa-on-Cloud-AS,621,1.34
152.69.219.31,41746,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,812,1.34
154.197.121.178,8443,TRUE,SEA,US,North America,Seattle,328608,Africa-on-Cloud-AS,673,1.33
154.197.121.197,8443,TRUE,LAX,US,North America,Los Angeles,328608,Africa-on-Cloud-AS,691,1.33
154.197.121.218,8443,TRUE,SEA,US,North America,Seattle,328608,Africa-on-Cloud-AS,699,1.32
154.197.121.188,8443,TRUE,SEA,US,North America,Seattle,328608,Africa-on-Cloud-AS,672,1.32
152.70.99.187,8443,TRUE,HKG,HK,Asia Pacific,Hong Kong,31898,ORACLE-BMC-31898,538,1.32
154.197.121.160,8443,TRUE,LAX,US,North America,Los Angeles,328608,Africa-on-Cloud-AS,615,1.32
8.219.237.250,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",358,1.31
154.197.121.47,8443,TRUE,SEA,US,North America,Seattle,328608,Africa-on-Cloud-AS,629,1.31
154.197.121.139,8443,TRUE,SEA,US,North America,Seattle,328608,Africa-on-Cloud-AS,637,1.31
8.219.174.213,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",335,1.31
154.197.121.170,8443,TRUE,LAX,US,North America,Los Angeles,328608,Africa-on-Cloud-AS,648,1.31
154.197.121.252,8443,TRUE,LAX,US,North America,Los Angeles,328608,Africa-on-Cloud-AS,673,1.30
154.197.121.108,8443,TRUE,SEA,US,North America,Seattle,328608,Africa-on-Cloud-AS,648,1.30
47.236.97.254,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",382,1.30
154.197.121.235,8443,TRUE,LAX,US,North America,Los Angeles,328608,Africa-on-Cloud-AS,732,1.30
158.178.234.40,34237,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,790,1.30
154.197.121.117,8443,TRUE,LAX,US,North America,Los Angeles,328608,Africa-on-Cloud-AS,671,1.29
47.236.130.95,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",484,1.29
8.222.248.188,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",357,1.29
154.197.121.161,8443,TRUE,SEA,US,North America,Seattle,328608,Africa-on-Cloud-AS,625,1.29
154.197.121.191,8443,TRUE,LAX,US,North America,Los Angeles,328608,Africa-on-Cloud-AS,678,1.29
158.178.241.138,45000,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,345,1.27
154.197.121.201,8443,TRUE,SEA,US,North America,Seattle,328608,Africa-on-Cloud-AS,696,1.26
8.222.224.162,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",452,1.25
154.197.121.29,8443,TRUE,LAX,US,North America,Los Angeles,328608,Africa-on-Cloud-AS,704,1.25
129.150.49.244,28570,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,844,1.24
154.197.121.216,8443,TRUE,SEA,US,North America,Seattle,328608,Africa-on-Cloud-AS,658,1.24
47.236.7.246,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",324,1.24
168.138.194.121,8443,TRUE,HKG,HK,Asia Pacific,Hong Kong,31898,ORACLE-BMC-31898,832,1.23
47.128.164.52,9999,TRUE,SIN,SG,Asia Pacific,Singapore,16509,AMAZON-02,318,1.22
47.236.94.113,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",367,1.22
8.222.211.124,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",337,1.22
154.197.121.2,8443,TRUE,LAX,US,North America,Los Angeles,328608,Africa-on-Cloud-AS,674,1.21
154.197.121.145,8443,TRUE,LAX,US,North America,Los Angeles,328608,Africa-on-Cloud-AS,621,1.20
154.197.121.66,8443,TRUE,LAX,US,North America,Los Angeles,328608,Africa-on-Cloud-AS,632,1.20
154.197.121.27,8443,TRUE,LAX,US,North America,Los Angeles,328608,Africa-on-Cloud-AS,656,1.20
154.197.121.242,8443,TRUE,SEA,US,North America,Seattle,328608,Africa-on-Cloud-AS,649,1.20
8.219.142.191,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",403,1.19
154.197.121.127,8443,TRUE,LAX,US,North America,Los Angeles,328608,Africa-on-Cloud-AS,634,1.17
154.197.121.205,8443,TRUE,LAX,US,North America,Los Angeles,328608,Africa-on-Cloud-AS,682,1.16
79.99.28.160,8443,TRUE,LAX,US,North America,Los Angeles,834,IPXO,639,1.15
47.236.7.206,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",368,1.15
8.219.0.162,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",410,1.15
8.222.175.78,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",356,1.15
