IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
54.65.210.183,54177,TRUE,NRT,JP,Asia Pacific,Tokyo,16509,AMAZON-02,249,18.66
13.209.50.45,34237,TRUE,NRT,JP,Asia Pacific,Tokyo,16509,AMAZON-02,337,13.13
18.136.104.40,19042,TRUE,SIN,SG,Asia Pacific,Singapore,16509,AMAZON-02,319,12.28
47.128.253.66,8443,TRUE,SIN,SG,Asia Pacific,Singapore,16509,AMAZON-02,331,10.98
54.250.254.21,8443,TRUE,NRT,JP,Asia Pacific,Tokyo,16509,AMAZON-02,203,10.54
52.197.35.156,9002,TRUE,NRT,JP,Asia Pacific,Tokyo,16509,AMAZON-02,194,7.99
43.200.24.92,24002,TRUE,NRT,JP,Asia Pacific,Tokyo,16509,AMAZON-02,386,7.91
3.34.43.204,34237,TRUE,NRT,JP,Asia Pacific,Tokyo,16509,AMAZON-02,333,7.71
54.95.25.207,10018,TRUE,NRT,JP,Asia Pacific,Tokyo,16509,AMAZON-02,201,6.43
43.202.44.172,8443,TRUE,NRT,JP,Asia Pacific,Tokyo,16509,AMAZON-02,383,4.27
51.21.132.183,8443,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,943,4.16
43.200.24.92,21002,TRUE,NRT,JP,Asia Pacific,Tokyo,16509,AMAZON-02,371,4.12
43.200.3.77,34237,TRUE,NRT,JP,Asia Pacific,Tokyo,16509,AMAZON-02,450,3.76
34.210.49.32,25977,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,895,2.81
35.162.127.228,12342,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,692,2.51
35.180.207.222,55420,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,844,1.85
35.180.207.222,30291,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,852,1.84
35.156.134.213,8443,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,847,1.82
13.37.103.14,25530,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,791,1.76
13.38.117.229,13926,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,807,1.67
18.193.64.47,58949,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,842,1.66
52.58.97.123,8443,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,793,1.62
3.98.54.22,8443,TRUE,YUL,CA,North America,Montréal,16509,AMAZON-02,927,1.58
16.170.0.206,55500,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,895,1.54
35.157.229.137,8443,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,814,1.50
35.180.204.185,8443,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,828,1.49
47.128.164.52,9999,TRUE,SIN,SG,Asia Pacific,Singapore,16509,AMAZON-02,315,1.46
13.48.177.215,8444,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,894,1.34
15.237.28.105,11567,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,785,1.30
15.237.28.105,42585,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,825,1.28
3.68.185.54,8880,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,810,1.18
18.192.26.252,9527,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,845,1.16
