IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
220.81.132.214,39670,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,392,5.28
59.3.87.55,39109,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,454,5.26
132.226.20.20,47494,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,265,5.05
121.172.184.114,39239,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,426,4.98
121.161.238.47,39090,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,392,4.85
106.252.227.66,39178,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,441,4.74
221.165.152.104,39718,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,463,4.73
193.123.247.125,50576,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,377,4.72
222.114.29.162,39123,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,413,4.68
106.241.165.67,39259,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,444,4.66
221.159.203.188,39669,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,448,4.65
106.252.227.66,39692,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,429,4.58
141.164.56.255,40010,TRUE,NRT,JP,Asia Pacific,Tokyo,20473,AS-CHOOPA,433,4.58
85.113.70.29,42449,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,287,4.56
175.209.37.180,39549,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,418,4.53
106.252.227.66,39350,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,405,4.50
221.164.43.248,39504,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,404,4.50
121.175.54.166,39496,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,407,4.47
182.210.222.7,39985,TRUE,NRT,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,436,4.47
106.252.227.66,39201,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,413,4.42
146.56.181.95,46237,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,368,4.41
211.250.13.224,39241,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,507,4.39
121.177.79.245,39593,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,374,4.38
